entity_type	entity	needs_review	description_source	description_words	empty_description
DISEASE	alstrom syndrome	1	MedGen	242	0
DISEASE	alveolar rhabdomyosarcoma	0	MONDO	34	0
DISEASE	alveolar soft part sarcoma	1	standard	89	0
DISEASE	alveolar soft part sarcoma (asps)	1	alias_disease	25	0
DISEASE	alzheimer disease	1	standard	71	0
DISEASE	alzheimer disease 18	0	MONDO	17	0
DISEASE	alzheimer disease 19	0	MONDO	17	0
DISEASE	alzheimer disease 2	0	MONDO	15	0
DISEASE	alzheimer disease 3	0	MONDO	21	0
DISEASE	alzheimer disease 4	0	MONDO	21	0
DISEASE	alzheimer disease 5	1	MONDO	14	0
DISEASE	alzheimer disease 6	0	MONDO	15	0
DISEASE	alzheimer disease 9	1	MONDO	14	0
DISEASE	alzheimer disease type 1	1	MONDO	31	0
DISEASE	alzheimer disease, familial early-onset, with coexisting amyloid and prion pathology	1	MONDO	31	0
DISEASE	alzheimer's disease	1	standard	71	0
DISEASE	amanita muscaria poisoning	0	corrected_overlay	9	0
DISEASE	amanita pantherina poisoning	0	corrected_overlay	9	0
DISEASE	amebiasis	1	standard	27	0
DISEASE	amebic colitis	1	standard	25	0
DISEASE	amebic liver abscess	0	standard	25	0
DISEASE	amegakaryocytic thrombocytopenia	1	standard	10	0
DISEASE	amenorrhea	1	standard	3	0
DISEASE	amish lethal microcephaly	0	MONDO	19	0
DISEASE	amitriptyline overdose	1	standard	60	0
DISEASE	amyloidosis	1	standard	52	0
DISEASE	amyloidosis, hereditary systemic 1	1	modified_disease	40	0
DISEASE	amyloidosis, hereditary systemic 3	1	modified_disease	24	0
DISEASE	amyotrophic lateral sclerosis	1	standard	88	0
DISEASE	amyotrophic lateral sclerosis (als)	0	corrected_overlay	18	0
DISEASE	amyotrophic lateral sclerosis type 1	1	MedGen	606	0
DISEASE	amyotrophic lateral sclerosis type 12	0	MONDO	18	0
DISEASE	amyotrophic lateral sclerosis type 4	0	MONDO	18	0
DISEASE	amyotrophic lateral sclerosis type 5	0	MONDO	18	0
DISEASE	amyotrophic lateral sclerosis type 6	0	MONDO	18	0
DISEASE	amyotrophic lateral sclerosis type 8	0	MONDO	18	0
DISEASE	amyotrophic lateral sclerosis type 9	0	MONDO	18	0
DISEASE	amyotrophic neuralgia	0	MONDO	31	0
DISEASE	anaemia	0	standard	9	0
DISEASE	anaemia associated with chronic kidney disease	1	modified_disease	27	0
DISEASE	anaerobic bacteria infectious disease	0	standard	41	0
DISEASE	anaerobic bacterial infections	0	corrected_overlay	12	0
DISEASE	anaerobic pneumonia	1	standard	6	0
DISEASE	anal candidiasis	0	corrected_overlay	22	0
DISEASE	anal carcinoma	1	standard	10	0
