head_name	relation	tail_name
Ethanol	METABOLIZED_BY	all-trans-retinol dehydrogenase (NAD(+))
Cocaine	METABOLIZED_BY	cholinesterase
Metronidazole	METABOLIZED_BY	FMN reductase [NAD(P)H]
Azacitidine	METABOLIZED_BY	cytidine deaminase
Isoniazid	METABOLIZED_BY	catalase peroxidase
Isoniazid	METABOLIZED_BY	arylamine N-acetyltransferase
Dapoxetine	METABOLIZED_BY	flavin-containing monooxygenase
Netilmicin	METABOLIZED_BY	aminoglycoside 6'-N-acetyltransferase
Zaleplon	METABOLIZED_BY	aldehyde oxidase
Desloratadine	METABOLIZED_BY	glucuronosyltransferase
Cytarabine	METABOLIZED_BY	5'-nucleotidase
Cytarabine	METABOLIZED_BY	dCMP deaminase
Dopamine	METABOLIZED_BY	monoamine oxidase
Azathioprine	METABOLIZED_BY	glutathione transferase
Doxorubicin	METABOLIZED_BY	alcohol dehydrogenase (NADP(+))
Doxorubicin	METABOLIZED_BY	malate dehydrogenase (oxaloacetate-decarboxylating) (NADP(+))
Doxorubicin	METABOLIZED_BY	3alpha-hydroxysteroid 3-dehydrogenase
Doxorubicin	METABOLIZED_BY	nitric-oxide synthase (NADPH)
Doxorubicin	METABOLIZED_BY	xanthine dehydrogenase
Doxorubicin	METABOLIZED_BY	NADH:ubiquinone reductase (H(+)-translocating)
Busulfan	METABOLIZED_BY	glutathione transferase
4-Nitrophenyl Phosphate	METABOLIZED_BY	protein-tyrosine-phosphatase
Riociguat	METABOLIZED_BY	vitamin D 25-hydroxylase
Sofosbuvir	METABOLIZED_BY	glucosylceramidase
Obeticholic acid	METABOLIZED_BY	bile acid-CoA:amino acid N-acyltransferase
Miltefosine	METABOLIZED_BY	phospholipase D
Tibolone	METABOLIZED_BY	3beta-hydroxy-Delta(5)-steroid dehydrogenase
Benzydamine	METABOLIZED_BY	flavin-containing monooxygenase
Rufinamide	METABOLIZED_BY	carboxylesterase
Silodosin	METABOLIZED_BY	alcohol dehydrogenase
Silodosin	METABOLIZED_BY	aldehyde dehydrogenase (NAD(+))
Doripenem	METABOLIZED_BY	beta-lactamase
Doripenem	METABOLIZED_BY	membrane dipeptidase
Droxidopa	METABOLIZED_BY	aromatic-L-amino-acid decarboxylase
Histamine	METABOLIZED_BY	histamine N-methyltransferase
Histamine	METABOLIZED_BY	diamine oxidase
Bazedoxifene	METABOLIZED_BY	beta-glucuronidase
Doxercalciferol	METABOLIZED_BY	cholestanetriol 26-monooxygenase
2-Amino-1-methyl-6-phenylimidazo(4,5-b)pyridine	METABOLIZED_BY	glycerol dehydratase
Molsidomine	METABOLIZED_BY	3',5'-cyclic-GMP phosphodiesterase
Kappadione	METABOLIZED_BY	vitamin-K-epoxide reductase (warfarin-sensitive)
Sodium acetate	METABOLIZED_BY	acetate--CoA ligase
Protirelin	METABOLIZED_BY	pyroglutamyl-peptidase I
Hydrogen peroxide	METABOLIZED_BY	catalase
Hydrogen peroxide	METABOLIZED_BY	glutathione peroxidase
Bosutinib	METABOLIZED_BY	quinine 3-monooxygenase
Bradykinin	METABOLIZED_BY	meprin B
Bradykinin	METABOLIZED_BY	Xaa-Pro aminopeptidase
Bradykinin	METABOLIZED_BY	dipeptidyl-peptidase II
Bradykinin	METABOLIZED_BY	lysine carboxypeptidase
Bradykinin	METABOLIZED_BY	cathepsin H
Bradykinin	METABOLIZED_BY	cathepsin K
Lorlatinib	METABOLIZED_BY	unspecific monooxygenase
Lorlatinib	METABOLIZED_BY	glucuronosyltransferase
Citicoline	METABOLIZED_BY	Mn(2+)-dependent ADP-ribose/CDP-alcohol diphosphatase
Farnesyl diphosphate	METABOLIZED_BY	squalene synthase
Farnesyl diphosphate	METABOLIZED_BY	protein farnesyltransferase
Phloroglucinol	METABOLIZED_BY	phloroglucinol reductase
Leukotriene B4	METABOLIZED_BY	unspecific monooxygenase
Ornidazole	METABOLIZED_BY	FAD reductase (NADH)
Ornidazole	METABOLIZED_BY	FMN reductase (NADPH)
Methyltestosterone	METABOLIZED_BY	glucuronosyltransferase
Beta carotene	METABOLIZED_BY	beta-carotene 15,15'-dioxygenase
