head_name	relation	tail_name
Adiponectin receptor protein 2	THERAPEUTIC_TARGET_IN	fetal growth restriction
Prepronociceptin	THERAPEUTIC_TARGET_IN	substance withdrawal syndrome
Ras association domain-containing protein 1	THERAPEUTIC_TARGET_IN	hypertrophic cardiomyopathy
Retinoblastoma-like protein 2	THERAPEUTIC_TARGET_IN	ovarian neoplasm
Protein disulfide-isomerase A3	THERAPEUTIC_TARGET_IN	benign neoplasm
Proenkephalin-B	THERAPEUTIC_TARGET_IN	respiratory failure
Proenkephalin-A	THERAPEUTIC_TARGET_IN	nervous system disorder
Proenkephalin-A	THERAPEUTIC_TARGET_IN	osteoarthritis, knee
Proenkephalin-A	THERAPEUTIC_TARGET_IN	myocardial ischemia
Protein phosphatase 1 regulatory subunit 15A	THERAPEUTIC_TARGET_IN	stroke disorder
PRA1 family protein 3	THERAPEUTIC_TARGET_IN	substance withdrawal syndrome
Peroxiredoxin-1	THERAPEUTIC_TARGET_IN	schistosomiasis
Peroxiredoxin-2	THERAPEUTIC_TARGET_IN	myeloid leukemia
Prickle-like protein 1	THERAPEUTIC_TARGET_IN	temporal lobe epilepsy
E3 ubiquitin-protein ligase parkin	THERAPEUTIC_TARGET_IN	subarachnoid hemorrhage
Lithostathine-1-alpha	THERAPEUTIC_TARGET_IN	hereditary diffuse gastric adenocarcinoma
Relaxin-3	THERAPEUTIC_TARGET_IN	hyperplasia
Relaxin-3	THERAPEUTIC_TARGET_IN	myocardial ischemia
Aggrecan core protein	THERAPEUTIC_TARGET_IN	stroke disorder
Survival motor neuron protein	THERAPEUTIC_TARGET_IN	scapuloperoneal spinal muscular atrophy, autosomal dominant
Survival motor neuron protein	THERAPEUTIC_TARGET_IN	bulbospinal muscular atrophy
Survival motor neuron protein	THERAPEUTIC_TARGET_IN	distal hereditary motor neuropathy
Regulator of G-protein signaling 3	THERAPEUTIC_TARGET_IN	urinary bladder disorder
Regulator of G-protein signaling 9	THERAPEUTIC_TARGET_IN	parkinsonian disorder
Rho GTPase-activating protein 7	THERAPEUTIC_TARGET_IN	gastric cancer
Rho GTPase-activating protein 7	THERAPEUTIC_TARGET_IN	hereditary diffuse gastric adenocarcinoma
Rho GTPase-activating protein 7	THERAPEUTIC_TARGET_IN	ovarian neoplasm
Rho GTPase-activating protein 7	THERAPEUTIC_TARGET_IN	gastric neoplasm
Extracellular superoxide dismutase [Cu-Zn]	THERAPEUTIC_TARGET_IN	contact dermatitis
Prothymosin alpha	THERAPEUTIC_TARGET_IN	adenoma
Prothymosin alpha	THERAPEUTIC_TARGET_IN	fatty liver disease
Prothymosin alpha	THERAPEUTIC_TARGET_IN	lung neoplasm
Poly(U)-binding-splicing factor PUF60	THERAPEUTIC_TARGET_IN	mesothelioma
Transcription factor PU.1	THERAPEUTIC_TARGET_IN	alcohol abuse
Tumor protein D52	THERAPEUTIC_TARGET_IN	prostate neoplasm
Small ribosomal subunit protein eS6	THERAPEUTIC_TARGET_IN	vascular dementia
Transcription factor p65	THERAPEUTIC_TARGET_IN	brain ischemia
Trefoil factor 3	THERAPEUTIC_TARGET_IN	mucositis
E3 ubiquitin-protein ligase TRIM63	THERAPEUTIC_TARGET_IN	cardiomyopathy
E3 ubiquitin-protein ligase TRIM63	THERAPEUTIC_TARGET_IN	idiopathic cardiomyopathy
SRC kinase signaling inhibitor 1	THERAPEUTIC_TARGET_IN	cocaine dependence
Serum response factor	THERAPEUTIC_TARGET_IN	benign neoplasm
Acyl-coenzyme A thioesterase THEM4	THERAPEUTIC_TARGET_IN	hepatocellular carcinoma
Protein THEMIS2	THERAPEUTIC_TARGET_IN	breast neoplasm
Fibronectin type III domain-containing protein 5	THERAPEUTIC_TARGET_IN	endomyocardial fibrosis
Protachykinin-1	THERAPEUTIC_TARGET_IN	corneal disorder
ETS homologous factor	THERAPEUTIC_TARGET_IN	abdominal aortic aneurysm
Signal transducer and activator of transcription 4	THERAPEUTIC_TARGET_IN	obesity disorder
Ski-like protein	THERAPEUTIC_TARGET_IN	pulmonary fibrosis
Somatoliberin	THERAPEUTIC_TARGET_IN	myocardial infarction
Somatoliberin	THERAPEUTIC_TARGET_IN	pulmonary edema
DNA repair protein RAD50	THERAPEUTIC_TARGET_IN	myocardial infarction
DNA repair protein RAD50	THERAPEUTIC_TARGET_IN	cirrhosis of liver
