row_index	source_line	entity_type	entity	norm_entity	standard_name	description_source	description_words
156	8210	DRUG	Agmatine	agmatine	Agmatine	PubChem	32
157	74	DRUG	agomelatine	agomelatine	Agomelatine	standard	6
158	75	DRUG	ajmaline	ajmaline	(+)-Ajmaline	standard	15
159	76	DRUG	akynzeo	akynzeo	netupitant; palonosetron	corrected_overlay	24
160	7699	DRUG	Alanine	alanine	Alanine	PubChem	69
161	6474	DRUG	alanine / arginine / aspartate / glutamate / glycine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / proline / serine / threonine / tryptophan / tyrosine / valine injectable solution	alanine / arginine / aspartate / glutamate / glycine / histidine / isoleucine / leucine / lysine / methionine / phenylalanine / proline / serine / threonine / tryptophan / tyrosine / valine injectable solution	L-Alanine; L-Arginine; L-Aspartic Acid; L-Glutamic Acid; Glycine; L-Histidine; L-Isoleucine; L-Leucine; L-Lysine; L-Methionine; L-Phenylalanine; L-Proline; L-Serine; L-Threonine; L-Tryptophan; L-Tyrosine; L-Valine	modified_drug	185
162	77	DRUG	alatrofloxacin	alatrofloxacin	Alatrofloxacin	standard	4
163	78	DRUG	albendazole	albendazole	Albendazole	standard	59
164	79	DRUG	albiglutide	albiglutide	Albiglutide	standard	4
165	80	DRUG	albumin human	albumin human	Albumin (Human)	standard	34
166	81	DRUG	albuterol	albuterol	Salbutamol	standard	71
167	6475	DRUG	albuterol / budesonide inhalant product	albuterol / budesonide inhalant product	albuterol; Budesonide	PubChem	115
168	82	DRUG	albutrepenonacog alfa	albutrepenonacog alfa	Albutrepenonacog Alfa	standard	1
169	83	DRUG	alcaftadine	alcaftadine	Alcaftadine	standard	58
170	84	DRUG	alclofenac	alclofenac	Alclofenac	standard	71
171	85	DRUG	alclometasone	alclometasone	Alclometasone	standard	68
172	86	DRUG	aldactazide	aldactazide	spironolactone; hydrochlorothiazide	corrected_overlay	13
173	87	DRUG	aldesleukin	aldesleukin	Aldesleukin	standard	126
174	88	DRUG	alectinib	alectinib	Alectinib	standard	86
175	89	DRUG	alefacept	alefacept	Alefacept	standard	114
176	90	DRUG	alemtuzumab	alemtuzumab	Alemtuzumab	standard	94
177	6476	DRUG	alendronate / cholecalciferol oral product	alendronate / cholecalciferol oral product	alendronate; cholecalciferol	ChEBI;PubChem	114
178	91	DRUG	alendronic acid	alendronic acid	Alendronic Acid	standard	57
179	92	DRUG	alfacalcidol	alfacalcidol	Alfacalcidol	standard	79
180	93	DRUG	alfaxalone	alfaxalone	Alphaxalone	standard	5
181	94	DRUG	alfentanil	alfentanil	Alfentanil	standard	78
182	95	DRUG	alfuzosin	alfuzosin	Alfuzosin	standard	28
183	96	DRUG	alginic acid	alginic acid	alginic acid	standard	24
184	97	DRUG	alglucerase	alglucerase	Lysosomal Acid Glucosylceramidase	standard	27
185	98	DRUG	alglucosidase alfa	alglucosidase alfa	Alglucosidase Alfa	DailyMed	215
186	99	DRUG	alimemazine	alimemazine	(+-)-Trimeprazine	standard	6
187	100	DRUG	alirocumab	alirocumab	Alirocumab	standard	92
188	8143	DRUG	Alisertib	alisertib	Alisertib	NCI Thesaurus	89
189	101	DRUG	aliskiren	aliskiren	Aliskiren	standard	38
190	6477	DRUG	aliskiren/hydrochlorothiazide	aliskiren/hydrochlorothiazide	Aliskiren; Hydrochlorothiazide	modified_drug	53
191	102	DRUG	alitretinoin	alitretinoin	9-cis-retinoic acid	standard	12
192	8068	DRUG	Alizapride	alizapride	Alizapride	NCI Thesaurus	13
193	103	DRUG	allantoin	allantoin	Allantoin	standard	60
194	104	DRUG	allegra-d	allegra-d	fexofenadine; pseudoephedrine	corrected_overlay	12
195	105	DRUG	allergenic extract- beef liver	allergenic extract- beef liver	beef liver allergenic extract	corrected_overlay	11
196	6478	DRUG	allogeneic cultured keratinocytes and dermal fibroblasts in murine collagen	allogeneic cultured keratinocytes and dermal fibroblasts in murine collagen	allogeneic cultured keratinocytes; allogeneic dermal fibroblasts	corrected_overlay	20
197	106	DRUG	allopurinol	allopurinol	Allopurinol	standard	53
198	8670	DRUG	Allylestrenol	allylestrenol	Allylestrenol	PubChem	12
199	107	DRUG	almasilate	almasilate	Almasilate	standard	1
200	108	DRUG	almitrine	almitrine	Almitrine	standard	39
201	109	DRUG	almotriptan	almotriptan	Almotriptan	standard	47
202	110	DRUG	alogliptin	alogliptin	Alogliptin	standard	75
203	6479	DRUG	alogliptin / metformin oral tablet	alogliptin / metformin oral tablet	Alogliptin; Metformin	modified_drug	56
204	6480	DRUG	alogliptin / pioglitazone oral product	alogliptin / pioglitazone oral product	Alogliptin; Pioglitazone	modified_drug	72
205	6481	DRUG	alogliptin/metformin	alogliptin/metformin	Alogliptin; Metformin	modified_drug	52
206	111	DRUG	alosetron	alosetron	Alosetron	standard	35
207	112	DRUG	alpelisib	alpelisib	Alpelisib	NCI Thesaurus	75
208	6482	DRUG	alpha tocopherol / ascorbic acid / biotin / cholecalciferol / dexpanthenol / folic acid / niacinamide / pyridoxine / riboflavin / thiamine / vitamin a / vitamin b12 / vitamin k1 injectable solution	alpha tocopherol / ascorbic acid / biotin / cholecalciferol / dexpanthenol / folic acid / niacinamide / pyridoxine / riboflavin / thiamine / vitamin a / vitamin b12 / vitamin k1 injectable solution	alpha tocopherol; ascorbic acid; biotin; cholecalciferol; dexpanthenol; folic acid; niacinamide; Pyridoxine; Riboflavin; Thiamine; vitamin a; Vitamin B12; vitamin k1	ChEBI;Disease Ontology;PubChem	595
209	113	DRUG	alpha-1-proteinase inhibitor	alpha-1-proteinase inhibitor	alpha-1-proteinase inhibitor	DailyMed	377
210	8648	DRUG	alpha-Linolenic acid	alpha-linolenic acid	alpha-Linolenic acid	PubChem	55
211	8391	DRUG	alpha-Tocopherol acetate	alpha-tocopherol acetate	alpha-Tocopherol acetate	PubChem	5
212	8390	DRUG	alpha-Tocopherol succinate	alpha-tocopherol succinate	alpha-Tocopherol succinate	PubChem	8
213	8071	DRUG	Alphacetylmethadol	alphacetylmethadol	ALPHACETYLMETHADOL	ChEMBL	19
214	114	DRUG	alprazolam	alprazolam	Alprazolam	standard	65
215	8062	DRUG	Alprenolol	alprenolol	ALPRENOLOL HYDROCHLORIDE	ChEMBL	20
216	115	DRUG	alprostadil	alprostadil	Alprostadil	standard	33
217	116	DRUG	alteplase	alteplase	Alteplase	standard	48
218	117	DRUG	altretamine	altretamine	Altretamine	standard	4
