row_index	source_line	entity_type	entity	norm_entity	standard_name	description_source	description_words
164	6929	DISEASE	acute rheumatic carditis	acute rheumatic carditis	acute rheumatic heart disease	modified_disease	16
165	6930	DISEASE	acute sinusitis	acute sinusitis	Acute Sinusitis	modified_disease	15
166	6931	DISEASE	acute subendocardial myocardial infarction	acute subendocardial myocardial infarction	acute subendocardial myocardial infarction	modified_disease	14
167	6932	DISEASE	acute thrombi obstructing coronary arteries	acute thrombi obstructing coronary arteries	coronary thrombosis	MONDO	38
168	6933	DISEASE	acute tibia fractures	acute tibia fractures	tibia fracture	modified_disease	23
169	6934	DISEASE	acute tricyclic antidepressant poisoning	acute tricyclic antidepressant poisoning	acute tricyclic antidepressant poisoning	modified_disease	35
170	6935	DISEASE	acute urate nephropathy	acute urate nephropathy	acute urate nephropathy	modified_disease	18
171	6936	DISEASE	acute urticaria	acute urticaria	acute idiopathic urticaria	modified_disease	11
172	7688	DISEASE	acute, uncomplicated ano-rectal infections in women	acute, uncomplicated ano-rectal infections in women	Rectal Diseases / Anus Diseases / Proctitis	manual_modified_disease	37
173	3387	DISEASE	acutely decompensated heart failure	acutely decompensated heart failure	heart failure	standard	57
174	8824	DISEASE	ACys amyloidosis	acys amyloidosis	ACys amyloidosis	MONDO	29
175	3388	DISEASE	adamantinous craniopharyngioma	adamantinous craniopharyngioma	Craniopharyngioma	standard	86
176	3389	DISEASE	adams-stokes syndrome	adams-stokes syndrome	Adams-Stokes Syndrome	standard	48
177	8843	DISEASE	ADan amyloidosis	adan amyloidosis	ADan amyloidosis	MONDO	26
178	3390	DISEASE	addiction	addiction	Addiction	standard	7
179	3391	DISEASE	addison disease	addison disease	Addison Disease	standard	47
180	3392	DISEASE	adenocarcinoma	adenocarcinoma	Adenocarcinoma	standard	8
181	3393	DISEASE	adenomyosis	adenomyosis	Adenomyosis	standard	34
182	3394	DISEASE	adenosine deaminase deficiency	adenosine deaminase deficiency	severe combined immunodeficiency, autosomal recessive, T cell-negative, B cell-negative, NK cell-negative, due to adenosine deaminase deficiency	standard	23
183	6937	DISEASE	adenosine deaminase severe combined immune deficiency (ada-scid)	adenosine deaminase severe combined immune deficiency (ada-scid)	Adenosine Deaminase Deficiency	modified_disease	30
184	3395	DISEASE	adenoviridae infectious disease	adenoviridae infectious disease	Adenovirus Infection	NCI Thesaurus	28
185	3396	DISEASE	adhd in children	adhd in children	attention deficit hyperactivity disorder	corrected_overlay	10
186	6386	DISEASE	adhf	adhf	acute decompensated heart failure	corrected_overlay	22
187	9329	DISEASE	Adiponectin deficiency	adiponectin deficiency	adiponectin deficiency	EFO	11
188	3397	DISEASE	adjustment disorder	adjustment disorder	Adjustment Disorders	standard	46
189	3398	DISEASE	adnexitis	adnexitis	Pelvic Inflammatory Disease	standard	64
190	3399	DISEASE	adrenal adenoma	adrenal adenoma	adrenal cortex adenoma	standard	40
191	3400	DISEASE	adrenal cortex carcinoma	adrenal cortex carcinoma	adrenal cortex carcinoma	standard	7
192	3401	DISEASE	adrenal crisis	adrenal crisis	acute adrenal insufficiency	standard	37
193	3402	DISEASE	adrenal gland disorder	adrenal gland disorder	adrenal gland disorder	standard	6
194	3403	DISEASE	adrenal gland hyperfunction	adrenal gland hyperfunction	Adrenocortical Hyperfunction	standard	21
195	3404	DISEASE	adrenal hyperplasia	adrenal hyperplasia	congenital adrenal hyperplasia	standard	40
196	6938	DISEASE	adrenal hyperplasia, congenital	adrenal hyperplasia, congenital	Adrenal Hyperplasia, Congenital	modified_disease	63
